key,Race,Date,distance_km,elevation_gain_m,key_race,finishers,winner_hours,top3_median_hours,km_effort,vertical_share,elite_equivalent_speed
42,YAMALIKE MOUNTAIN SNOW TRAIL RUN 2019 - CHALLENGING-30K,13 January 2019,31.2,1700,42,74,2.4975,3.2688888888888887,48.2,0.3526970954356846,14.745071380013599
43,YAMALIKE MOUNTAIN SNOW TRAIL RUN 2019 - EXTREME-40K,13 January 2019,40.8,2110,43,38,4.897222222222222,5.250277777777778,61.9,0.34087237479806143,11.7898523887625
44,9-PEAK GLOBAL TRAIL 2018 - 30K,31 December 2018,27.4,1500,44,146,3.756111111111111,3.898888888888889,42.4,0.3537735849056604,10.874893131946422
45,9-PEAK GLOBAL TRAIL 2018 - 50K,31 December 2018,48.6,3200,45,63,9.240555555555556,9.647222222222222,80.6,0.3970223325062035,8.35473653901526
46,KAILAS JIANGYIN HUASHAN TRAIL RUNNING 2018 - 22K,31 December 2018,22.2,890,46,140,1.7341666666666666,1.7516666666666667,31.1,0.28617363344051444,17.754519505233112
47,RUN GUIZHOU LEAGUE FINALS 2018,31 December 2018,57.4,1940,47,176,5.019166666666667,5.1369444444444445,76.8,0.2526041666666667,14.950521819066672
48,NEW YEAR N.E. MOUNTAIN RACE 2019 2019 - CHALLENGE - SOLO,1 January 2019,24.5,1560,48,354,2.79,2.826111111111111,40.1,0.38902743142144636,14.189109494790644
49,NEW YEAR N.E. MOUNTAIN RACE 2019 2019 - CHALLENGE - TEAM,1 January 2019,24.5,1560,49,96,3.033333333333333,3.1,40.1,0.38902743142144636,12.935483870967742
50,NEW YEAR N.E. MOUNTAIN RACE 2019 2019 - ELITE - SOLO,1 January 2019,32.0,2030,50,265,4.848611111111111,5.016666666666667,52.3,0.38814531548757175,10.425249169435215
51,NEW YEAR N.E. MOUNTAIN RACE 2019 2019 - ELITE - TEAM,1 January 2019,32.0,2030,51,40,5.139166666666667,5.15,52.3,0.38814531548757175,10.15533980582524
52,NEW YEAR MARATHON ALMATY 2019 - MARATHON,1 January 2019,42.6,480,52,32,3.1661111111111113,3.3666666666666667,47.4,0.10126582278481013,14.07920792079208
53,NINGHAI CLASSIC 2019 - CLASSIC,1 January 2019,31.5,1650,53,141,2.5730555555555554,2.6683333333333334,48.0,0.34375,17.988757026858213
54,XINCHANG ULTRA 30KM 2019 - 50KM,1 January 2019,51.9,2520,54,199,4.259166666666666,4.261666666666667,77.1,0.32684824902723736,18.091513492373874
55,XINCHANG ULTRA 30KM 2019 - 30KM,1 January 2019,30.6,1430,55,197,2.9305555555555554,2.9980555555555557,44.900000000000006,0.3184855233853006,14.976373575465582
56,S1 TRAIL LA CORSA DELLA BORA 2019 - HALF,5 January 2019,21.7,530,56,556,1.7302777777777778,1.7358333333333333,27.0,0.1962962962962963,15.55448871819491
57,S1 TRAIL LA CORSA DELLA BORA 2019 - ULTRA,5 January 2019,164.2,6720,57,86,19.77722222222222,21.938055555555554,231.39999999999998,0.2904062229904927,10.547881028653912
58,S1 TRAIL LA CORSA DELLA BORA 2019 - TRAIL,5 January 2019,57.3,2630,58,412,5.052777777777778,5.0616666666666665,83.6,0.3145933014354067,16.516298979255843
59,S1 TRAIL LA CORSA DELLA BORA 2019 - S1 JUST,5 January 2019,7.7,320,59,118,0.5305555555555556,0.6025,10.9,0.29357798165137616,18.09128630705394
60,VAGAMON ULTRAIL 2019 - 60K,5 January 2019,60.0,2080,60,80,7.4383333333333335,8.021944444444445,80.8,0.25742574257425743,10.072370926971153
61,VAGAMON ULTRAIL 2019 - 90K,5 January 2019,90.3,2350,61,61,11.234722222222222,11.234722222222222,113.8,0.20650263620386644,10.129311410557547
62,BLADERUNNER WINTER 2019 - BLADERUNNER,5 January 2019,49.9,2130,62,56,5.371666666666667,6.191111111111111,71.2,0.2991573033707865,11.500358937544869
63,SAN TAN SCRAMBLE 2019 - 50K,5 January 2019,51.2,1110,63,70,3.803888888888889,3.8538888888888887,62.300000000000004,0.17817014446227927,16.16548940464178
64,ULTRA-TRAIL® TAI MO SHAN 2019 - UTMT,5 January 2019,155.2,7640,64,162,23.735555555555557,24.39,231.6,0.32987910189982733,9.495694956949569
65,ULTRA-TRAIL® TAI MO SHAN 2019 - TTF,5 January 2019,110.3,5330,65,143,16.182777777777776,17.051111111111112,163.6,0.3257946210268949,9.594682653460184
66,SELVA COSTERA 2019 - 50K SELVA COSTERA,5 January 2019,51.4,1770,66,32,4.421666666666667,4.513888888888889,69.1,0.25615050651230103,15.30830769230769
